순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
552,네버엔딩 스토리,정용주,아일랜드픽처스(주),,(주)화앤담이엔티,2012/01/18,개봉영화,장편,한국,269,"2,106,823,000","283,449","638,022,000","81,476",코미디,15세이상관람가,일반영화
553,다이노 타임,"최윤석,존 카프카",주식회사 토이온,,씨제이이앤엠(주),2015/04/30,개봉영화,장편,한국,430,"2,099,683,100","283,300","405,724,600","52,818",애니메이션,전체관람가,일반영화
554,극장판 안녕 자두야,손석우,"아툰즈,씨제이이앤엠(주)",,씨제이이앤엠(주),2016/05/04,개봉영화,장편,한국,523,"2,124,832,300","278,914","377,332,100","46,697",애니메이션,전체관람가,일반영화
555,마지막 선물,김영준,(주)태원엔터테인먼트,,(주)쇼박스,2008/02/05,개봉영화,장편,한국,263,"1,748,517,833","272,890","446,771,333","69,286",드라마,15세이상관람가,일반영화
556,가루지기,신한솔,(주)프라임엔터테인먼트,,(주)쇼박스,2008/04/30,개봉영화,장편,한국,311,"1,777,787,000","272,648","518,553,500","76,430",드라마,청소년관람불가,일반영화
557,요가학원,윤재연,오퍼스픽쳐스(유),,(주)싸이더스,2009/08/20,개봉영화,장편,한국,251,"1,947,834,107","271,514","513,226,500","67,792",공포(호러),15세이상관람가,일반영화
558,가비,장윤현,(주)오션필름,,(주)시네마서비스,2012/03/15,개봉영화,장편,한국,339,"1,969,360,500","270,602","632,097,000","82,433",드라마,15세이상관람가,일반영화
559,롤러코스터,하정우,(주)판타지오픽쳐스,,씨제이이앤엠(주),2013/10/17,개봉영화,장편,한국,374,"1,913,087,600","270,148","610,177,000","81,230",코미디,15세이상관람가,일반영화
560,마이 뉴 파트너,김종현,케이엠컬쳐㈜,,(주)엠플러스픽쳐스,2008/03/06,개봉영화,장편,한국,220,"1,696,902,333","265,323","426,297,833","64,513",액션,15세이상관람가,일반영화
561,악질경찰,이정범,"청년필름(주),다이스필름(주)",,워너브러더스 코리아(주),2019/03/20,개봉영화,장편,한국,833,"2,256,615,278","262,233","543,947,088","61,930",범죄,청소년관람불가,일반영화
562,공범자들,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2017/08/17,개봉영화,장편,한국,228,"2,017,678,800","258,478","745,661,900","92,054",다큐멘터리,15세이상관람가,독립/예술영화
563,함정,권형진,(주)데이드림,,(주)인벤트스톤,2015/09/10,개봉영화,장편,한국,445,"2,088,685,200","257,716","411,417,600","50,477",스릴러,청소년관람불가,일반영화
564,기묘한 가족,이민재,씨네주 유한회사,,메가박스중앙(주)플러스엠,2019/02/13,개봉영화,장편,한국,625,"2,062,904,275","256,202","465,060,345","56,391",코미디,12세이상관람가,일반영화
565,밤의 여왕,김제영,"(주)영화사아이비젼,(유)밤의여왕문화산업전문회사",,(주)인벤트스톤,2013/10/17,개봉영화,장편,한국,333,"1,762,892,500","252,475","513,568,000","69,050",멜로/로맨스,15세이상관람가,일반영화
566,불신지옥,이용주,(주)영화사아침,,(주)쇼박스,2009/08/12,개봉영화,장편,한국,237,"1,818,156,353","251,314","551,869,000","72,073",미스터리,15세이상관람가,일반영화
567,비밀은 없다,이경미,"(주)영화사거미,필름트레인",,씨제이이앤엠(주),2016/06/23,개봉영화,장편,한국,502,"2,027,801,239","250,650","576,619,139","68,878",스릴러,청소년관람불가,일반영화
568,걸스카우트,김상만,(주)보경사,,롯데쇼핑㈜롯데엔터테인먼트,2008/06/05,개봉영화,장편,한국,257,"1,534,585,000","249,114","400,738,500","61,954",드라마,15세이상관람가,일반영화
569,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,2015/03/12,개봉영화,장편,한국,368,"1,950,635,763","248,215","551,485,163","67,072",스릴러,15세이상관람가,독립/예술영화
570,적과의 동침,박건용,(주)알지엔터웍스,,(주)쇼박스,2011/04/27,개봉영화,장편,한국,391,"1,740,340,000","243,094","558,480,500","74,511",드라마,12세이상관람가,일반영화
571,두 사람이다,오기환,"영화사행복,㈜모가비픽쳐스",,"영화사청어람(주),(주)엠엔에프씨",2007/08/22,개봉영화,장편,한국,0,0,"241,292",0,"78,200",공포(호러),청소년관람불가,일반영화
572,미옥,이안규,(주)영화사 소중한,,씨네그루(주)키다리이엔티,2017/11/09,개봉영화,장편,한국,635,"1,897,705,564","238,587","520,190,864","63,596",범죄,청소년관람불가,일반영화
573,마강호텔,최성철,(주)마인엔터테인먼트,,(주)쇼박스,2007/02/22,개봉영화,장편,한국,0,0,"237,183",0,"34,294",코미디,15세이상관람가,일반영화
574,강철대오:구국의 철가방,육상효,스페이스엠(주),,롯데쇼핑㈜롯데엔터테인먼트,2012/10/25,개봉영화,장편,한국,366,"1,614,867,156","233,211","501,037,128","71,509",코미디,15세이상관람가,일반영화
575,어느날,이윤기,(주)인벤트스톤,,"오퍼스픽쳐스(유),CGV아트하우스",2017/04/05,개봉영화,장편,한국,532,"1,827,370,582","232,016","566,199,082","69,068",멜로/로맨스,15세이상관람가,일반영화
576,인플루언스,이재규,"리얼라이즈픽쳐스(주),윈저엔터테인먼트",,,2010/08/19,개봉영화,장편,한국,3,"1,529,006","229,610","1,310,000",175,드라마,15세이상관람가,일반영화
577,폐가,이철하,"데이지엔터테인먼트,HY Films",,(주)시너지하우스 (시너지),2010/08/19,개봉영화,장편,한국,160,"1,611,889,133","229,610","330,786,500","43,876",공포(호러),15세이상관람가,일반영화
578,순정,이은희,(주)주피터필름,,(주)리틀빅픽쳐스,2016/02/24,개봉영화,장편,한국,467,"1,643,792,033","229,059","507,428,633","65,385",드라마,12세이상관람가,일반영화
579,치즈인더트랩,김제영,(주)마운틴무브먼트스토리,,(주)리틀빅픽쳐스,2018/03/14,개봉영화,장편,한국,364,"1,890,873,700","229,005","557,695,800","65,340",멜로/로맨스,15세이상관람가,일반영화
580,분노의 윤리학,박명랑,"(주)티피에스컴퍼니,(주)사람엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013/02/21,개봉영화,장편,한국,302,"1,654,554,000","224,891","516,562,000","68,651",스릴러,청소년관람불가,일반영화
581,한공주,이수진,리 공동체 영화사,,CGV아트하우스,2014/04/17,개봉영화,장편,한국,226,"1,780,640,800","224,452","576,752,300","70,103",드라마,청소년관람불가,독립/예술영화
582,마마,최익환,"씨네주(유),㈜더드림앤드픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2011/06/01,개봉영화,장편,한국,269,"1,533,830,500","222,731","427,065,500","59,189",드라마,12세이상관람가,일반영화
583,시,이창동,"파인하우스필름(주),(주)유니코리아문예투자",,(주)넥스트엔터테인먼트월드(NEW),2010/05/13,개봉영화,장편,한국,171,"1,567,857,053","222,017","812,330,850","111,181",드라마,15세이상관람가,독립/예술영화
584,우리 집에 왜 왔니,황수아,㈜어거스트,,롯데쇼핑㈜롯데엔터테인먼트,2009/04/09,개봉영화,장편,한국,211,"1,427,488,305","219,962","490,008,000","72,204",드라마,15세이상관람가,일반영화
585,수,최양일,(주)트리쯔클럽,,(주)시네마서비스,2007/03/22,개봉영화,장편,한국,0,0,"218,314",0,"52,993",액션,청소년관람불가,일반영화
586,1급기밀,홍기선,"(주)미인픽쳐스,(주)미디어모굴",,(주)리틀빅픽쳐스,2018/01/24,개봉영화,장편,한국,512,"1,720,083,300","217,803","406,282,500","50,330",드라마,12세이상관람가,일반영화
587,나는 공무원이다,구자홍,마포필름,,(주)넥스트엔터테인먼트월드(NEW),2012/07/12,개봉영화,장편,한국,278,"1,535,913,500","217,493","429,380,000","57,654",코미디,전체관람가,일반영화
