영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012/03/22,한국,"30,219,800,500",멜로/로맨스,12세이상관람가,엄태웅
7급 공무원,신태라,롯데쇼핑㈜롯데엔터테인먼트,2009/04/22,한국,"26,701,311,856",코미디,12세이상관람가,김하늘
댄싱퀸,이석훈,씨제이이앤엠(주),2012/01/18,한국,"30,129,259,500",코미디,12세이상관람가,황정민
우리 생애 최고의 순간,임순례,(주)싸이더스,2008/01/10,한국,"26,151,780,425",드라마,전체관람가,문소리
꾼,장창원,(주)쇼박스,2017/11/22,한국,"31,313,568,795",범죄,15세이상관람가,현빈
타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014/09/03,한국,"32,267,244,827",드라마,청소년관람불가,T.O.P
박수건달,조진규,(주)쇼박스,2013/01/09,한국,"28,343,986,569",코미디,15세이상관람가,박신양
조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015/02/11,한국,"30,456,879,428",사극,12세이상관람가,김명민
역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014/04/30,한국,"29,893,297,890",사극,15세이상관람가,현빈
남한산성,황동혁,씨제이이앤엠(주),2017/10/03,한국,"31,067,321,992",사극,15세이상관람가,이병헌
쌍화점,유하,(주)쇼박스,2008/12/30,한국,"25,616,489,949",드라마,청소년관람불가,조인성
암수살인,김태균,(주)쇼박스,2018/10/03,한국,"32,855,895,548",범죄,15세이상관람가,김윤석
국가부도의 날,최국희,씨제이이앤엠(주),2018/11/28,한국,"30,891,765,837",드라마,12세이상관람가,김혜수
신기전,김유진,씨제이엔터테인먼트,2008/09/04,한국,"24,314,570,667",사극,15세이상관람가,정재영
귀향,조정래,(주)와우픽쳐스,2016/02/24,한국,"27,245,051,990",드라마,15세이상관람가,강하나
신의 한 수,조범구,(주)쇼박스,2014/07/03,한국,"28,777,712,256",범죄,청소년관람불가,정우성
부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012/01/18,한국,"25,878,110,500",드라마,15세이상관람가,안성기
끝까지 간다,김성훈,(주)쇼박스,2014/05/29,한국,"27,006,007,900",액션,15세이상관람가,이선균
스파이,이승준,씨제이이앤엠(주),2013/09/05,한국,"24,436,429,305",액션,15세이상관람가,설경구
그것만이 내 세상,최성현,씨제이이앤엠(주),2018/01/17,한국,"27,441,213,382",코미디,12세이상관람가,이병헌
이끼,강우석,씨제이엔터테인먼트,2010/07/14,한국,"25,856,306,126",드라마,청소년관람불가,정재영
돈,박누리,(주)쇼박스,2019/03/20,한국,"28,869,614,062",범죄,15세이상관람가,류준열
포화속으로,이재한,롯데쇼핑㈜롯데엔터테인먼트,2010/06/16,한국,"24,217,600,897",드라마,12세이상관람가,차승원
악인전,이원태,"(주)에이스메이커무비웍스,(주)키위미디어그룹",2019/05/15,한국,"29,128,292,150",범죄,청소년관람불가,마동석
아이 캔 스피크,김현석,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017/09/21,한국,"25,532,214,986",코미디,12세이상관람가,나문희
마녀,박훈정,워너브러더스 코리아(주),2018/06/27,한국,"27,242,029,463",미스터리,15세이상관람가,김다미
탐정: 리턴즈,이언희,씨제이이앤엠(주),2018/06/13,한국,"26,865,721,678",코미디,15세이상관람가,권상우
그놈 목소리,박진표,씨제이엔터테인먼트,2007/02/01,한국,0,드라마,12세이상관람가,설경구
