영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
사돈의 팔촌,장현상,서울독립영화제,2016/05/12,한국,"6,938,500",멜로/로맨스,15세이상관람가,장인섭
아일랜드 - 시간을 훔치는 섬,박진성,(유)조이앤시네마,2015/11/26,한국,"7,370,900",미스터리,15세이상관람가,오지호
여덟 번의 감정,성지혜,(주)스폰지이엔티,2010/09/30,한국,"6,605,714",드라마,15세이상관람가,김영호
U.F.O.,공귀현,㈜인디스토리,2012/05/24,한국,"6,765,000",드라마,청소년관람불가,0
노르웨이의 숲,노진수,(주)키노아이디엠씨,2010/09/30,한국,"7,240,683",코미디,청소년관람불가,정경호
전망 좋은 하우스 - 맛있는 섹스,미스터 엘,(주)케이알씨지,2014/02/20,한국,"1,160,000",멜로/로맨스,청소년관람불가,0
하나안,박루슬란,㈜인디스토리,2012/10/11,한국,"6,781,400",드라마,청소년관람불가,스타니슬라브 장
"이,기적인 남자",김재식,(주)리틀빅픽쳐스,2018/10/25,한국,"7,401,800",드라마,15세이상관람가,박호산
천상고원,김응수,이모션픽처스,2007/05/31,한국,0,드라마,전체관람가,이용희
경,김소영,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2010/04/29,한국,"6,300,624",드라마,15세이상관람가,0
젊은엄마 : 내 나이가 어때서,김일종,골든타이드픽처스(주),2015/05/07,한국,"4,515,000",드라마,청소년관람불가,동방우
나를 닮은 얼굴,태미 추,(주)영화사 진진,2010/09/30,한국,"5,023,370",다큐멘터리,전체관람가,노명자
노랑머리 - 플라스틱 섹스,이세일,(주)케이알씨지,2013/08/01,한국,"1,800,000",성인물(에로),청소년관람불가,0
왓니껴,이동삼,주식회사 마운틴픽쳐스,2014/08/21,한국,"5,622,000",드라마,12세이상관람가,심혜진
비단꽃길,김정욱,주식회사 마운틴픽쳐스,2013/10/17,한국,"5,820,500",다큐멘터리,전체관람가,김금화
션샤인 러브,조은성,"(주)인벤트스톤,(주)영화사오원",2015/09/17,한국,"7,069,800",판타지,12세이상관람가,오정세
7공주 대리운전,이재훈,(주)나우콘텐츠,2015/05/28,한국,"4,308,000",코미디,청소년관람불가,0
페티쉬,손수범,(주)영화사 조제,2010/11/25,한국,"6,524,946",스릴러,청소년관람불가,송혜교
맛있는 인생,조성규,(주)스폰지이엔티,2010/10/28,한국,"6,129,233",드라마,15세이상관람가,류승수
맞짱,차룡,(주)차룡영화사,2018/09/12,한국,"2,237,000",액션,청소년관람불가,최태환
철암 계곡의 혈투,지하진,㈜인디스토리,2012/07/12,한국,"6,357,500",서부극(웨스턴),청소년관람불가,이무생
청춘그루브,변성현,"(주)두타연,(주)미디어데이",2012/03/15,한국,"6,922,500",드라마,15세이상관람가,봉태규
그리다,"장호준,이인의,박재영",㈜인디스토리,2017/10/26,한국,"5,996,300",드라마,12세이상관람가,0
카토 프로젝트,김정욱,주식회사 마운틴픽쳐스,2014/04/17,한국,"2,373,000",다큐멘터리,전체관람가,0
바다,윤태식,주식회사 마운틴픽쳐스,2011/09/01,한국,"6,226,000",드라마,12세이상관람가,고수희
울보,이진우,오퍼스픽쳐스(유),2016/01/28,한국,"6,443,400",드라마,청소년관람불가,장유상
창간호,"백승환,하수민,정인희,지일주",(주)트리플픽쳐스,2019/01/17,한국,"7,174,650",드라마,15세이상관람가,0
완벽한 파트너-감독판,박헌수,타임스토리그룹(주),2011/12/01,한국,"6,788,000",코미디,청소년관람불가,0
숙희,양지은,주식회사 노버스엔터테인먼트,2014/07/10,한국,"5,446,000",드라마,청소년관람불가,채민서
살결,이성강,㈜인디스토리,2007/05/10,한국,0,드라마,청소년관람불가,0
타클라마칸,고은기,(주)드림팩트엔터테인먼트,2018/03/22,한국,"6,574,300",드라마,청소년관람불가,조성하
기화,문정윤,아방가르드 필름,2015/02/26,한국,"5,753,500",드라마,청소년관람불가,홍희용
링크,우디 한,(주)키노아이디엠씨,2011/07/28,한국,"6,099,500",스릴러,청소년관람불가,류덕환
고스톱 살인,김준권,(주)랠리버튼,2014/03/20,한국,"5,479,500",판타지,15세이상관람가,이승준
눈꺼풀,오멸,(주)영화사 진진,2018/04/12,한국,"5,942,200",드라마,15세이상관람가,문석범
서울연애,이우정,서울독립영화제,2014/10/30,한국,"6,158,100",드라마,청소년관람불가,고현
젊은 엄마 3,채길병,골든타이드픽처스(주),2015/09/03,한국,"4,137,000",멜로/로맨스,청소년관람불가,김하래
군사통제구역 팔이공지대,구모,골든타이드픽처스(주),2013/07/25,한국,"5,950,000",미스터리,청소년관람불가,박그리나
춤추는 동물원,"김효정,박성용",㈜인디스토리,2010/12/02,한국,"6,013,343",드라마,15세이상관람가,0
악인은 너무 많다,김회근,어뮤즈,2011/12/15,한국,"6,443,500",드라마,청소년관람불가,김준배
압록강은 흐른다,이종한,주식회사 루믹스미디어,2009/06/04,한국,"3,397,814",드라마,전체관람가,0
러브씬,"문인대,이정원,김두헌",골든타이드픽처스(주),2013/10/03,한국,"3,775,000",멜로/로맨스,청소년관람불가,0
소규모 아카시아 밴드 이야기,"민환기,구미정",(주)이모션픽처스,2010/01/14,한국,"5,721,328",다큐멘터리,12세이상관람가,0
다영씨,고봉수,㈜인디스토리,2018/12/06,한국,"5,206,600",드라마,12세이상관람가,신민재
"용서, 그 먼 길 끝에 당신이 있습니까",조욱희,주식회사 루믹스미디어,2008/11/06,한국,"4,634,500",다큐멘터리,12세이상관람가,김혜수
혼자,박홍민,㈜인디스토리,2016/11/24,한국,"5,355,500",스릴러,청소년관람불가,이주원
마님,김광중,골든타이드픽처스(주),2015/08/14,한국,"4,088,000",멜로/로맨스,청소년관람불가,김정아
상어,김동현,㈜인디스토리,2007/05/10,한국,0,드라마,15세이상관람가,김미야
검은 땅의 소녀와,전수일,(주)스폰지이엔티,2007/11/15,한국,0,가족,전체관람가,유연미
Jam Docu 강정,"경순,권효,최진성,김태일,양동규,정윤석,최하동하,홍형숙","시네마달,(사)한국독립영화협회",2011/12/22,한국,"5,397,000",다큐멘터리,12세이상관람가,0
숨,함경록,(재)전주국제영화제조직위원회,2011/09/01,한국,"5,033,000",드라마,15세이상관람가,신연숙
눈이라도 내렸으면,장희철,야간비행,2016/05/12,한국,"5,611,000",드라마,15세이상관람가,이효림
앙상블,이종필,길스토리,2014/12/18,한국,"6,195,500",드라마,전체관람가,박고운
예스 평창!,백철기,시네마 뉴원,2018/03/08,한국,"6,530,800",다큐멘터리,전체관람가,최문순
달에 부는 바람,이승준,무브먼트,2016/05/26,한국,"4,901,600",다큐멘터리,전체관람가,김예지
없던 일,윤여창,(주)나우콘텐츠,2015/08/20,한국,"3,799,000",드라마,청소년관람불가,곽민준
젊은 처제,이세종,주식회사 루믹스미디어,2015/09/10,한국,"4,913,000",멜로/로맨스,청소년관람불가,곽한구
"씨, 베토벤","박진순,민복기",㈜인디스토리,2014/03/27,한국,"5,612,000",드라마,15세이상관람가,0
블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,"김성권,이임주",㈜스토리셋,2016/04/14,한국,"5,806,000",다큐멘터리,전체관람가,0
소시민,김병준,홀리가든,2017/01/12,한국,"5,585,800",코미디,15세이상관람가,한수현
콩가네,남기웅,프리비젼엔터테인먼트,2013/07/11,한국,"5,451,500",가족,청소년관람불가,김병옥
7월 32일,진승현,㈜기억속의매미,2010/04/22,한국,"4,678,963",드라마,청소년관람불가,박은수
귀신의 향기,이준학,(주)스튜디오후크,2019/07/03,한국,"5,295,500",공포(호러),15세이상관람가,강경준
러브앤서울 복숭아마을 도색소동기,조조 히데오,(주)케이알씨지,2015/07/27,한국,"3,847,000",멜로/로맨스,청소년관람불가,0
블러디쉐이크,김지용,㈜팜코리아미디어,2010/05/27,한국,"3,351,622",드라마,청소년관람불가,전혜진
핑크,전수일,주식회사 마운틴픽쳐스,2012/03/15,한국,"4,732,000",드라마,청소년관람불가,이승연
어이그 저 귓것,오멸,(주)영화사 진진,2011/08/25,한국,"5,367,200",드라마,전체관람가,오영순
착한 여자,경석호,(주)소나무픽쳐스,2015/03/25,한국,"2,959,000",멜로/로맨스,청소년관람불가,주연서
방 안의 코끼리,"박수영,권칠인,권호영",㈜인디스토리,2016/03/03,한국,"5,430,800",기타,청소년관람불가,0
뷰티풀 차일드,이성수,주식회사 마운틴픽쳐스,2013/11/28,한국,"4,632,000",다큐멘터리,전체관람가,<b>이성수</b>
"빗자루, 금붕어 되다",김동주,(주)마노엔터테인먼트,2010/09/30,한국,"4,899,424",드라마,15세이상관람가,유순웅
미스터 컴퍼니,민환기,㈜인디스토리,2014/02/27,한국,"4,620,800",다큐멘터리,12세이상관람가,김진화
깔깔깔 희망버스,이수정,주식회사 마운틴픽쳐스,2012/09/27,한국,"4,638,400",다큐멘터리,15세이상관람가,김여진
우리가족,김도현,주식회사 마운틴픽쳐스,2014/07/24,한국,"4,166,000",다큐멘터리,전체관람가,김태훈
탐욕의 별,공귀현,㈜인디스토리,2016/04/27,한국,"4,461,500",다큐멘터리,15세이상관람가,김의성
겨울냄새,전화성,크리에이티브컴즈(주),2011/08/18,한국,"5,461,000",다큐멘터리,전체관람가,양성철
아름다운 유산,김창만,제나두엔터테인먼트,2011/04/14,한국,"3,397,500",드라마,전체관람가,연재
심장이 뛰네,허은희,(주)키노아이디엠씨,2011/07/28,한국,"4,325,500",드라마,청소년관람불가,유동숙
캠퍼스 S 커플,송창용,(주)액티버스엔터테인먼트,2014/05/15,한국,"4,728,000",멜로/로맨스,청소년관람불가,최필립
해에게서 소년에게,안슬기,주식회사 디에스이이디,2015/11/19,한국,"4,549,500",드라마,15세이상관람가,신연우
파도치는 땅,임태규,아이 엠,2019/04/04,한국,"4,952,300",드라마,12세이상관람가,박정학
예수보다 낯선,여균동,(주)미로스페이스,2019/04/04,한국,"4,140,080",코미디,15세이상관람가,조복래
워킹 스트리트,이상우,(주)모멘텀엔터테인먼트,2016/11/17,한국,"4,020,100",드라마,청소년관람불가,백성현
들꽃,박석영,(주)인디플러그,2015/11/05,한국,"5,192,300",드라마,청소년관람불가,조수향
오디세오,정성복,(주)패뷸러스,2015/10/22,한국,"9,880,000",공연,전체관람가,0
천 번을 불러도,신성섭,주식회사 마운틴픽쳐스,2014/10/16,한국,"4,571,700",드라마,15세이상관람가,김최용준
허풍,공자관,골든타이드픽처스(주),2013/08/14,한국,"3,031,000",코미디,청소년관람불가,김동수
살기 위하여,이강길,시네마달,2009/04/16,한국,"3,850,283",다큐멘터리,12세이상관람가,이순덕
미녀전쟁,임진승,골든타이드픽처스(주),2013/12/19,한국,"2,905,000",코미디,청소년관람불가,황선화
하숙집,경석호,(주)소나무픽쳐스,2015/02/25,한국,"3,305,000",멜로/로맨스,청소년관람불가,0
내 친구의 아내,탁승오,(주)소나무픽쳐스,2015/12/03,한국,"4,493,000",멜로/로맨스,청소년관람불가,정태민
후쿠시마의 미래,이홍기,(주)인디플러그,2015/04/09,한국,"4,218,000",다큐멘터리,전체관람가,김미화
수상한 언니들,노진수,(주)투한미디어,2016/03/03,한국,"3,333,000",멜로/로맨스,청소년관람불가,고원
짓2: 붉은 낙타,노진수,(주)드림팩트엔터테인먼트,2015/08/07,한국,"3,146,000",드라마,청소년관람불가,고원
꼭 껴안고 눈물 핑,김동원,(주)영화사 조제,2011/03/10,한국,"4,552,000",드라마,15세이상관람가,이켠
왕초와 용가리,이창준,㈜인디스토리,2016/09/08,한국,"4,205,200",다큐멘터리,15세이상관람가,상현
더 블랙,이마리오,이달투,2018/09/13,한국,"4,418,500",다큐멘터리,전체관람가,김하영
베드,박철수,주식회사 마운틴픽쳐스,2013/01/17,한국,"4,186,000",드라마,청소년관람불가,장혁진
꿈의 공장,김성균,시네마달,2011/09/01,한국,"3,707,000",다큐멘터리,12세이상관람가,김경봉
전망 좋은 집 2,경석호,(주)소나무픽쳐스,2015/05/27,한국,"3,032,000",멜로/로맨스,청소년관람불가,정민혁
남편만 몰라요,고광현,더그레이트 컴퍼니,2015/07/07,한국,"2,995,000",멜로/로맨스,청소년관람불가,최선미
동백아가씨,박정숙,시네마달,2008/11/20,한국,"3,891,248",다큐멘터리,전체관람가,0
우리들의 헤어진 여자친구,이광호,골든타이드픽처스(주),2013/08/29,한국,"2,889,000",멜로/로맨스,청소년관람불가,주영호
폭력의 법칙: 나쁜 피 두 번째 이야기,강효진,(주)영화사 안다미로,2016/10/20,한국,"4,578,000",드라마,청소년관람불가,김영무
허스,김정중,(주)스폰지이엔티,2007/08/02,한국,0,드라마,제한상영가,김혜나
걱정말아요,"소준문,김대견,신종훈",(주)레인보우팩토리,2017/01/05,한국,"4,320,500",드라마,청소년관람불가,0
인투 더 나잇,갈재민,(주)시네마달,2018/03/29,한국,"4,704,300",다큐멘터리,12세이상관람가,0
플랑크 상수,조성규,하준사,2015/04/30,한국,"4,861,500",드라마,청소년관람불가,김재욱
착한 처제,강훈,쟈비스미디어,2015/11/19,한국,"3,723,000",드라마,청소년관람불가,강성필
태아 3D,표만석,(주)팝엔터테인먼트,2013/04/18,한국,"6,671,500",다큐멘터리,전체관람가,이규화
사이에서,"어일선,민두식","주식회사 마운틴픽쳐스,영화사 민들레",2012/11/22,한국,"3,184,500",드라마,청소년관람불가,0
개와 늑대 사이의 시간,전수일,스폰지,2007/06/21,한국,0,드라마,15세이상관람가,안길강
스타: 빛나는 사랑,한상희,주식회사 마운틴픽쳐스,2012/10/11,한국,"4,382,000",멜로/로맨스,12세이상관람가,환희
개똥이,김병준,주식회사 마운틴픽쳐스,2013/09/05,한국,"4,058,000",드라마,청소년관람불가,송재하
저스트 프렌즈,안철호,팝엔터테인먼트,2012/05/03,한국,"4,097,000",멜로/로맨스,15세이상관람가,오연서
개인교수: 심화학습,정태령,(주)소나무픽쳐스,2016/02/18,한국,"3,688,000",멜로/로맨스,청소년관람불가,허예창
엄마에게,이홍재,어뮤즈,2012/05/31,한국,"3,333,500",드라마,전체관람가,장시원
맛2,경석호,(주)소나무픽쳐스,2015/09/02,한국,"2,852,000",멜로/로맨스,청소년관람불가,고은성
미국인친구,성지혜,골든타이드픽처스(주),2014/06/12,한국,"3,362,000",드라마,청소년관람불가,남성진
고백,정영배,더그레이트 컴퍼니,2015/08/20,한국,"2,847,000",미스터리,청소년관람불가,김영호
"양 한 마리, 양 두 마리",황철민,씨네굿,2011/12/01,한국,"3,867,000",드라마,12세이상관람가,성수정
이바라키의 여름,전성호,(주)씨에이씨엔터테인먼트,2015/08/06,한국,"3,711,500",다큐멘터리,전체관람가,0
동거의 목적,조성우,(주)제이에이와이이엔터테인먼트,2016/03/31,한국,"2,945,000",멜로/로맨스,청소년관람불가,제동화
용주골,최우성,에이라인,2015/11/19,한국,"2,823,000",드라마,청소년관람불가,이채담
오프 로드,한승룡,"(주)스폰지이엔티,스폰지",2007/08/30,한국,0,드라마,청소년관람불가,조한철
윤희,윤여창,노바엔터테인먼트,2014/01/09,한국,"4,354,000",드라마,청소년관람불가,최지연
착한 여비서의 목적,김효재,골든타이드픽처스(주),2016/05/20,한국,"2,889,000",멜로/로맨스,청소년관람불가,김도희
관음증,이상빈,골든타이드픽처스(주),2016/02/25,한국,"2,926,000",멜로/로맨스,청소년관람불가,이윤선
통통한 혁명,민두식,주식회사 마운틴픽쳐스,2012/08/02,한국,"3,748,000",멜로/로맨스,12세이상관람가,이소정
젊은 엄마 4,김효재,골든타이드픽처스(주),2016/04/28,한국,"2,859,000",멜로/로맨스,청소년관람불가,박초현
청춘학당2 기생난입야사,김대성,(주)영화사히트,2016/03/03,한국,"3,313,000",코미디,청소년관람불가,전현수
감금의 시간,김대성,마법사필름,2015/12/03,한국,"3,310,000",스릴러,청소년관람불가,전유진
색끈한 퓨전사극 심청야사,강명진,고구마콘텐츠허브(주),2015/12/17,한국,"3,542,000",사극,청소년관람불가,0
사람을 찾습니다,이서,(주)키노아이디엠씨,2009/12/17,한국,"3,538,086",미스터리,청소년관람불가,최무성
로드킬,이수성,(주)갤럭시컴퍼니,2019/02/21,한국,"4,239,100",공포(호러),청소년관람불가,이철민
그 여자 그 남자의 속사정,이윤형,어뮤즈,2013/01/31,한국,"3,747,000",멜로/로맨스,15세이상관람가,정다혜
독,김태곤,㈜인디스토리,2009/08/20,한국,"3,622,784",공포(호러),15세이상관람가,임형국
하프,김세연,(주)인디플러그,2016/01/21,한국,"4,166,700",드라마,청소년관람불가,안용준
처음 만난 사람들,김동현,"㈜인디스토리,아트플러스시네마네트워크",2009/06/04,한국,"3,406,408",드라마,12세이상관람가,박인수
방독피,"김곡,김선",(주)두엔터테인먼트,2013/08/22,한국,"3,305,000",미스터리,청소년관람불가,0
젊은 엄마,공자관,"골든타이드픽처스(주),(주)옐로우필름",2013/08/06,한국,"3,168,000",멜로/로맨스,청소년관람불가,이은미
고시원,이영민,(주)로이테미디어,2015/10/30,한국,"3,380,000",멜로/로맨스,청소년관람불가,0
나나나 : 여배우 민낯 프로젝트,"부지영,김꽃비,서영주,양은용",서울독립영화제,2012/08/23,한국,"3,813,400",다큐멘터리,12세이상관람가,0
엄마는 창녀다,이상우,(주)드림웨스트픽쳐스,2011/03/31,한국,"3,422,200",드라마,청소년관람불가,0
겨울나비,김규민,(주)웃기씨네,2011/07/07,한국,"3,424,500",드라마,15세이상관람가,박소연
돌멩이의 꿈,장용우,씨제이엔터테인먼트,2009/12/10,한국,"3,612,168",드라마,12세이상관람가,차인표
포장마차,최율권희,에이라인,2015/10/01,한국,"2,617,000",코미디,청소년관람불가,0
사월의 끝,김광복,(주)비엠컬쳐스,2017/09/14,한국,"3,389,900",미스터리,청소년관람불가,박지수
안녕? 허대짜수짜님!,정호중,그리고필름앤드라마,2008/08/22,한국,"2,782,000",가족,전체관람가,0
키스,"강호준,김진희,황희성,서용호,문인대,이정원,김두헌",(주)마노엔터테인먼트,2013/03/07,한국,"4,387,000",드라마,청소년관람불가,0
새폴더2,황상원,더사람픽쳐스,2015/10/23,한국,"3,352,000",드라마,청소년관람불가,윤설희
누구나 제 명에 죽고 싶다,김승현,씨제이 씨지브이(CJ CGV)(주),2013/03/14,한국,"4,027,500",드라마,청소년관람불가,최원영
유부녀들,경석호,(주)소나무픽쳐스,2015/10/14,한국,"3,405,000",멜로/로맨스,청소년관람불가,김소현
젊은엄마 : 디 오리지널,정도수,골든타이드픽처스(주),2016/06/23,한국,"2,670,000",멜로/로맨스,청소년관람불가,백슬비
미국의 바람과 불,김경만,(주)시네마달,2012/07/26,한국,"3,107,498",다큐멘터리,15세이상관람가,0
미궁: 비밀애,조조 히데오,(주)케이알씨지,2015/04/23,한국,"2,642,000",멜로/로맨스,청소년관람불가,이규복
붉은 바캉스 검은 웨딩,"박철수,김태식",(주)영화사 조제,2011/12/08,한국,"3,926,000",드라마,청소년관람불가,0
물고기,박홍민,(주)미로비젼,2013/01/31,한국,"4,558,000",미스터리,15세이상관람가,이장훈
지구에서 사는 법,안슬기,㈜인디스토리,2009/09/24,한국,"3,347,259",드라마,15세이상관람가,박병은
달밤체조 2015,"신봉철,박후인",달밤체조(주),2018/04/24,한국,"3,493,000",드라마,12세이상관람가,0
색화동,공자관,(주)프리머스시네마,2007/11/15,한국,0,코미디,청소년관람불가,조재완
러시아 엄마,최원준,골든타이드픽처스(주),2016/07/28,한국,"2,560,000",멜로/로맨스,청소년관람불가,리나
경복,최시형,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2013/07/11,한국,"3,762,200",드라마,15세이상관람가,<b>최시형</b>
숲속의 부부,전규환,(주)트리필름,2018/02/15,한국,"4,265,500",판타지,청소년관람불가,김성민
불륜의 맛,이세일,(주)케이알씨지,2014/03/27,한국,"1,950,000",멜로/로맨스,청소년관람불가,전려원
어떤 개인 날,"이숙경,고태정",씨제이엔터테인먼트,2009/03/12,한국,"3,041,400",드라마,12세이상관람가,0
피해자들,노진수,골든타이드픽처스(주),2014/07/31,한국,"3,324,000",미스터리,청소년관람불가,류태준
국정교과서 516일 : 끝나지 않은 역사전쟁,백승우,(주)아우라픽처스,2017/11/23,한국,"3,255,500",다큐멘터리,12세이상관람가,한홍구
입영전야,유승택,(주)소나무픽쳐스,2016/04/05,한국,"3,290,000",멜로/로맨스,청소년관람불가,김승욱
마지막 위안부,임선,(주)투윈미디어,2015/08/03,한국,"4,172,000",드라마,15세이상관람가,문시호
내비게이션,장권호,골든타이드픽처스(주),2014/07/03,한국,"2,702,000",공포(호러),청소년관람불가,황보라
젓가락,서세원,씨제이엔터테인먼트,2010/10/28,한국,"3,486,744",코미디,15세이상관람가,하연주
애인,이숭환,(주)케이알씨지,2015/06/17,한국,"2,594,000",멜로/로맨스,청소년관람불가,문주연
등산의 목적,조형운,주식회사 비엠미디어,2016/03/03,한국,"2,507,000",멜로/로맨스,청소년관람불가,진혜경
스파이 파파,한승룡,(주)마노엔터테인먼트,2011/10/27,한국,"3,426,500",코미디,전체관람가,이두일
청춘정담,문인수,디마엔터테인먼트,2013/11/21,한국,"3,176,500",멜로/로맨스,15세이상관람가,고경표
비스티걸스,신진우,(주)마고필름,2017/07/13,한국,"2,822,000",드라마,청소년관람불가,고은아
벌거숭이,박상훈,이닥픽쳐스,2013/09/26,한국,"3,094,000",범죄,청소년관람불가,김민혁
쇼킹패밀리,경순,㈜인디스토리,2008/05/08,한국,"2,910,500",다큐멘터리,12세이상관람가,<b>경순</b>
짐승,황유식,(주)키노아이디엠씨,2011/07/28,한국,"3,370,000",스릴러,청소년관람불가,정석원
여행,배창호,(주)스폰지이엔티,2010/05/20,한국,"2,956,926",드라마,전체관람가,박상규
앨리스 죽이기,김상규,(주)인디플러그,2019/08/08,한국,"3,506,500",다큐멘터리,12세이상관람가,신은미
수상한 미용실,한동호,주식회사 비엠미디어,2015/10/28,한국,"2,403,000",멜로/로맨스,청소년관람불가,이채담
음란한 가족,신정균,(주)KW비젼,2015/09/24,한국,"2,301,000",코미디,청소년관람불가,한수아
낙원-파라다이스,이장수,씨제이엔터테인먼트,2009/11/26,한국,"3,523,191",멜로/로맨스,12세이상관람가,지진희
란제리살인사건,김세성,(주)노리픽쳐스,2015/09/17,한국,"2,295,000",스릴러,청소년관람불가,권민중
해피뻐스데이,이승원,무브먼트,2017/11/09,한국,"3,187,500",드라마,청소년관람불가,서갑숙
엘 꼰도르 빠사,송재용,와이드 릴리즈(주),2016/02/27,한국,"3,239,200",드라마,전체관람가,강예원
불빛 아래서,조이예환,모두를 위한 극장 공정영화협동조합,2019/08/29,한국,"3,635,400",다큐멘터리,12세이상관람가,김내현
혜경궁 홍씨,장동홍,주식회사 마운틴픽쳐스,2015/06/04,한국,"6,248,500",공연,12세이상관람가,윤여성
알바생들,홍수동,(주)나우콘텐츠,2016/04/28,한국,"2,349,000",드라마,청소년관람불가,이은미
청불학원: 무삭제판,최무연,(주)로드하우스,2017/04/10,한국,"2,353,000",멜로/로맨스,청소년관람불가,0
어떻게 헤어질까,조성규,하준사,2016/11/03,한국,"3,535,600",판타지,12세이상관람가,서준영
양아치 느와르,강효진,(주)영화사 그램,2018/09/13,한국,"3,822,000",드라마,청소년관람불가,김병철
술에 대하여 - 극장판,"임범,조승원",(주)이모션픽처스,2011/09/01,한국,"2,614,000",다큐멘터리,15세이상관람가,0
원스텝,전재홍,(주)드림팩트엔터테인먼트,2017/04/06,한국,"3,330,000",드라마,12세이상관람가,한재석
착한 엄마: 아버지의 여자를 탐하다,"이진명,유승택",(주)소나무픽쳐스,2019/06/24,한국,"2,571,000",멜로/로맨스,청소년관람불가,0
동창회의 목적 2,성우진,영화사 인연,2017/09/19,한국,"2,263,000",멜로/로맨스,청소년관람불가,이철희
나인뮤지스; 그녀들의 서바이벌,이학준,하준사,2014/09/25,한국,"3,454,000",다큐멘터리,12세이상관람가,<b>나인</b><b>뮤지스</b>
내 엄마의 친구 2,이동현,(주)소나무픽쳐스,2019/04/12,한국,"2,596,000",멜로/로맨스,청소년관람불가,0
사육-내안에 가둔 그녀,이세일,(주)케이알씨지,2013/10/24,한국,"2,220,000",멜로/로맨스,청소년관람불가,유세미
친구엄마 2018,이진명,(주)소나무픽쳐스,2018/12/04,한국,"2,573,000",멜로/로맨스,청소년관람불가,0
디렉터스 컷,박준범,야간비행,2015/07/02,한국,"2,974,000",드라마,12세이상관람가,박정표
이쁜 것들이 되어라,한승훈,CGV아트하우스,2014/04/17,한국,"3,583,400",코미디,15세이상관람가,정겨운
동창회의 목적 3,이도시,(주)소나무픽쳐스,2018/02/20,한국,"2,290,000",멜로/로맨스,청소년관람불가,0
보고싶다,"서은아,윤재호,장은연",조이월드앤다이버시티,2016/06/23,한국,"3,701,400",드라마,12세이상관람가,0
콜리션,"이윤호,허서형",THE 픽쳐스,2017/03/30,한국,"2,336,000",공포(호러),청소년관람불가,0
그리울 련,한철수,(주)드림팩트엔터테인먼트,2015/08/13,한국,"2,210,000",판타지,12세이상관람가,정경호
"금지된 섹스, 달콤한 복수",이숭환,(주)케이알씨지,2016/01/14,한국,"2,374,000",멜로/로맨스,청소년관람불가,강은비
마녀의 관,박진성,(주)이모션픽처스,2010/03/04,한국,"2,383,421",공포(호러),청소년관람불가,정승길
맛있는 덫-정사,신정균,(주)케이알씨지,2015/09/30,한국,"2,227,000",멜로/로맨스,청소년관람불가,한수연
이브의 유혹 - 엔젤,임경택,(주)화인웍스,2007/07/30,한국,0,스릴러,청소년관람불가,신소미
몽골리안 프린세스,정단우,(주)영화사 조제,2015/03/19,한국,"3,254,000",멜로/로맨스,청소년관람불가,<b>정단우</b>
모텔,이숭환,(주)케이알씨지,2015/11/10,한국,"2,182,000",멜로/로맨스,청소년관람불가,이정길
택시 블루스,최하동하,㈜인디스토리,2007/12/21,한국,0,다큐멘터리,청소년관람불가,0
메이드 인 차이나,김동후,(주)김기덕 필름,2015/06/25,한국,"3,135,100",드라마,청소년관람불가,한채아
위험한 섹스,이숭환,(주)케이알씨지,2015/09/23,한국,"2,249,000",멜로/로맨스,청소년관람불가,0
첫사랑 열전,박범훈,웃기씨네,2010/05/05,한국,"2,666,871",멜로/로맨스,15세이상관람가,이청아
탐정사무소 - 사랑과 전쟁,이동현,(주)나우콘텐츠,2016/05/13,한국,"2,097,000",스릴러,청소년관람불가,강현중
자가당착: 시대정신과 현실참여,김선,(주)인디플러그,2015/09/10,한국,"2,559,000",코미디,청소년관람불가,포돌이
핫섹토크,이전,(유)조이앤컨텐츠그룹,2015/11/03,한국,"2,143,000",멜로/로맨스,청소년관람불가,앤
인비져블 2: 귀신소리찾기,유준석,㈜인디스토리,2011/01/13,한국,"2,046,000",공포(호러),15세이상관람가,0
부곡 하와이,하강훈,어뮤즈,2015/04/30,한국,"2,805,300",드라마,청소년관람불가,박명신
정사: 위험한 성적유희,이민환,(주)케이알씨지,2014/11/27,한국,"1,754,000",멜로/로맨스,청소년관람불가,김시언
야한 누나들,최우성,(주)에이블엔터테인먼트,2016/02/11,한국,"2,102,000",멜로/로맨스,청소년관람불가,이채담
한양 기방 춘향뎐,김민욱,(주)케이알씨지,2015/11/26,한국,"2,085,000",멜로/로맨스,청소년관람불가,나영
은밀한 방문자,윤여창,(주)케이알씨지,2015/09/16,한국,"2,091,000",멜로/로맨스,청소년관람불가,박재훈
원 컷 - 어느 친절한 살인자의 기록,시라이시 코지,주식회사 마운틴픽쳐스,2014/09/11,한국,"2,790,600",공포(호러),청소년관람불가,연제욱
장례식의 멤버,백승빈,씨제이엔터테인먼트,2009/03/12,한국,"2,625,836",드라마,12세이상관람가,이주승
한양기방 명기전,김민욱,(주)케이알씨지,2015/12/30,한국,"2,163,000",멜로/로맨스,청소년관람불가,나영
맛있는 만남,이전,(주)케이알씨지,2016/02/29,한국,"2,054,000",멜로/로맨스,청소년관람불가,차주현
조선안방 스캔들-칠거지악,이전,(주)케이알씨지,2015/09/15,한국,"2,077,000",멜로/로맨스,청소년관람불가,0
